grupo,n_contribuyentes,perct_recepcion_extra,recepcion_extragrupo,perct_emision_extra,emision_intragrupo,emision_extragrupo,tasa_emision_intra_extra
361,32,31.927151206444904,3811133115.0,25.98028480815081,8125832668.0,2852097532.0,2.8490725078051082
2458,3,56.2311902981743,13066325733.0,26.058868673003023,10170468053.0,3584349963.0,2.8374651353763474
2750,8,48.973166258264236,1953354983.0,26.16537638874436,2035268037.0,721254496.0,2.8218445060479733
2554,6,17.551651636677924,1258610983.0,26.301889033868775,5912286714.0,2110017571.0,2.80200828431869
2700,6,65.46946216628035,23573270785.0,27.02867210327955,12433242794.0,4605288849.0,2.699774802768294
995,6,60.316855015172436,1846869784.0,27.347977507852672,1215076638.0,457384219.0,2.6565775283121433
1932,4,89.38992128723325,367137202.0,27.391985713368115,43577112.0,16439833.0,2.6507028386480567
1777,27,84.3024915273225,61812432021.0,27.606476078572268,11509756803.0,4389119477.0,2.622338458388701
667,42,38.89175556300631,16205518548.0,27.85720373225043,25462743307.0,9832178188.0,2.589735745236679
2931,4,61.149563293480526,288438338.0,27.94218217113795,183254872.0,71061561.0,2.5788185542391897
2808,3,41.93281062367457,4323702031.0,28.480610997335948,5987321644.0,2384284612.0,2.51116062816749
1278,33,29.225052613690707,5402388744.0,28.594973593310126,13083082661.0,5239272668.0,2.4971181097154536
2364,33,20.29089167970711,3308290326.0,28.674968296185142,12996021866.0,5224820881.0,2.4873621817850027
2641,4,41.025336682259905,2463841131.0,28.81362305509722,3541816178.0,1433596717.0,2.470580558674647
3114,53,61.823338063751606,58226160399.0,29.012817627382482,35955361050.0,14695136474.0,2.4467524417766082
760,4,67.83178362099133,21759630983.0,29.994483756211192,10319181959.0,4421344949.0,2.3339463620303924
2955,8,97.52574855839026,382608308916.0,30.273241304765445,9706863817.0,4214425511.0,2.3032472140424076
598,3,60.7709125975162,1797713528.0,30.613584404778955,1160467370.0,512003185.0,2.266523732659983
2660,11,36.9352846311244,3016716041.0,30.62741098616964,5150856163.0,2274059407.0,2.265049077937303
3218,95,70.0665574057135,760758288138.0,30.892933898248675,325006899001.0,145287844119.0,2.2369861771422435
2916,15,51.906590897737594,4192896428.0,30.904363106827624,3884876270.0,1737586225.0,2.2357890584681632
2694,3,32.29334113162727,635940333.0,31.3199555391004,1333321164.0,608030468.0,2.1928525529085823
782,4,90.14036940996377,319832244.0,31.32195646352735,34983524.0,15954916.0,2.192648585551939
1858,7,16.273646695618417,4302353205.0,31.432374365196786,22135195093.0,10147088110.0,2.1814332203527105
418,2,31.96399358033379,22082791.0,31.434203596374726,47003667.0,21548978.0,2.1812480851760117
2902,68,87.53492529815,2175745331.0,32.04433907792376,309828654.0,146099005.0,2.1206760032349297
2178,42,71.17327108195211,73414766909.0,32.07826210231517,29734583673.0,14043129609.0,2.1173758628520822
1966,7,73.94078085454842,118288482944.0,32.08700373890399,41688841581.0,19696819303.0,2.1165265792254297
1943,3,78.71130628037089,3266658728.0,32.14329030524749,883518524.0,418517086.0,2.1110691858348645
2328,23,58.68818175125734,3638253217.0,32.91502355304302,2561041272.0,1256566496.0,2.038126338838816
1879,22,93.23420244937805,123179400103.0,32.93469283067531,8938853571.0,4389727104.0,2.0363119071467457
595,13,84.3927154301033,2637241526.0,32.96387561996657,487721941.0,239828981.0,2.0336238721708115
2969,16,55.93713482397447,147096386994.0,33.18449823831476,115870937766.0,57548305839.0,2.013455236895527
2060,18,44.679374513771094,13649481302.0,33.782916821448985,16900367371.0,8622302248.0,1.960075961721262
1220,9,26.25297885194735,55759657668.0,34.33249513207942,156633983383.0,81891880662.0,1.9126924686159066
3183,4,33.91343104090301,1026161652.0,34.45878182093598,1999665050.0,1051338739.0,1.9020178519265996
541,3,94.71091677409981,786338506.0,34.818929827970166,43912676.0,23457614.0,1.8720009630988046
658,2,86.00078711540303,4885902910.0,35.131135872445405,795327546.0,430726828.0,1.8464778469754384
430,4,75.57915763531649,7977686837.0,35.31738987274842,2577719027.0,1407461877.0,1.8314663218405596
859,8,60.342222305087034,1906850470.0,35.934711251302325,1253209596.0,702934863.0,1.7828246427436052
705,13,53.12259965963263,35326576482.0,35.997535092776204,31173513326.0,17533225346.0,1.777967984259774
788,3,72.48124391411183,1510737974.0,36.02149145507459,573577764.0,322938546.0,1.776120475875308
2815,6,17.265955224014945,632413328.0,36.19158616082904,3030363042.0,1718795979.0,1.7630731506383166
827,3,38.19850139243198,211207843.0,36.289122157173445,341713961.0,194637087.0,1.755646707762329
867,3,37.804483190078756,710842006.0,36.318253472801096,1169469391.0,666958557.0,1.753436369810306
660,5,30.551127669435296,405041693.0,36.36827908956482,920741425.0,526243525.0,1.7496489386734022
1676,62,71.98663605924534,528391146.0,36.49986199595615,205621686.0,118191289.0,1.7397363861561743
1381,5,67.7279660219533,2524491982.0,36.691890461833296,1202907688.0,697176988.0,1.7253978669760683
1040,17,33.69712198791748,6613483613.0,36.97466336435134,13012772942.0,7634118668.0,1.7045547112786903
2440,5,16.309882128940966,863789569.0,37.06047652701,4432322090.0,2609869915.0,1.6982923419001135
1317,5,27.667001862667213,1779723140.0,37.321578035373115,4652933166.0,2770567650.0,1.6794151068644723
405,10,88.81601254846531,743443637011.0,37.49088012719754,93616725956.0,56148182183.0,1.6673153487121148
891,5,86.60080726598109,1608859349.0,37.75594169895278,248928586.0,150994865.0,1.648589745088351
841,2,86.26508677740259,69536135.0,37.88779695157172,11071371.0,6753421.0,1.6393722529663115
1400,4,22.43096581706011,1315069658.0,38.307248822250216,4547672360.0,2823813387.0,1.6104719883176897
3174,5,80.86334550451564,6866618535.0,38.37994549384991,1625014469.0,1012137481.0,1.6055274105593567
1091,199,42.69262963495764,23462045405.0,38.52573515086529,31493682564.0,19736995251.0,1.5956675351788583
3076,4,7.1968643929689495,239276191.0,38.61879742129255,3085452162.0,1941253136.0,1.5894125834396076
609,15,49.06826908307801,14832162336.0,38.64997270890647,15395442210.0,9698991957.0,1.5873239485355726
1397,4,58.36450294518407,4167040067.0,38.65604968068492,2972642200.0,1873218206.0,1.5869172050957527
191,6,61.084258126673504,250758586.0,38.692184350618284,159754030.0,100822910.0,1.5845012805125342
887,5,71.11500942663017,13437885889.0,38.74344612925496,5458105263.0,3452133590.0,1.5810817051839525
2670,2,99.6139710645798,330481479.0,38.915482209291234,1280698.0,815902.0,1.5696713575895145
577,6,99.90261654917121,521383313.0,39.003530871724465,508236.0,324986.0,1.5638704436498803
